υπερλήμμα	λήμμα	CEF level	Συχνότητα (Frequency)	τύπος λέξης
	δισταγμός	C2	0	ουσ.	
	δίψα	C2	0	ουσ.	
	διώροφος	C2	0	επίθ.	
	δόκτωρ	C2	0	ουσ.	
	δοσοληψία	C2	0	ουσ.	
	δότης	C2	0	ουσ.	
	δούκας	C2	0	ουσ.	
	δούλος	C2	0	κ.ό.
	δράμα	C2	0	ουσ.	
	δραπετεύω	C2	0	ρ.	
	δραπέτης	C2	0	ουσ.	
	δραστήριος	C2	0	επίθ.	
	δρομάκι	C2	0	ουσ.	
	δρομέας	C2	0	ουσ.	
	δυάρι	C2	0	ουσ.	
	δυνητικά	C2	0	επίρρ.	
	δυνητικός	C2	0	επίθ.	
	δύσοσμος	C2	0	ουσ., επίθ.
	δύσπιστος	C2	0	επίθ.	
	δυστυχισμένος	C2	0	επίθ.	
	δυσχεραίνω	C2	0	ρ.	
	δωδέκατος	C2	0	τακτ., επίθ.
	δωρίζω	C2	0	ρ.	
	δωροδοκία	C2	0	ουσ.	
	εάν	C2	0	υποτ., σύνδ.
	εβδομαδιαίος	C2	0	επίθ.	
	εβραϊκός	C2	0	επίθ.	
	Εβραίος	C2	0	κ.ό.
	εγγενής	C2	0	επίθ.	
	εγγονή	C2	0	ουσ.	
	εγγόνι	C2	0	ουσ.	
	εγγονός	C2	0	ουσ.	
	εγγράφομαι	C2	0	ρ.	
	εγγυητής	C2	0	ουσ.	
	εγείρομαι	C2	0	ρ.	
	εγείρω	C2	0	ρ.	
	εγκαθίσταμαι	C2	0	ρ.	
	εγκαινιάζω	C2	0	ρ.	
	έγκαιρος	C2	0	επίθ.	
	εγκαίρως	C2	0	επίρρ.	
	εγκάρδια	C2	0	επίρρ.	
	εγκάρδιος	C2	0	επίθ.	
	εγκαταλελειμμένος	C2	0	μτχ., επίθ., μτχ.
	εγκατεστημένος	C2	0	μτχ., επίθ., μτχ.
	εγκεκριμένος	C2	0	μτχ., επίθ., μτχ.
	εγκοπή	C2	0	ουσ.	
	εγκώμιο	C2	0	ουσ.	
	εγχειρίζω	C2	0	ρ.	
	εδραιώνω	C2	0	ρ.	
	εδώ	C2	0	επίρρ.	
εδώ	εδώ και			έκφρ.	
	εθελοντικά	C2	0	επίρρ., επίθ.
	εθισμός	C2	0	ουσ.	
	εθνικός	C2	0	επίθ.	
εθνικός	εθνική ομάδα			ονοματική φράση	
εθνικός	εθνική ομοσπονδία			ονοματική φράση	
	εθνικότητα	C2	0	ουσ.	
	ειδικευμένος	C2	0	επίθ.	
	ειδικότερα	C2	0	επίθ. (κλιτή μορφή), επίρρ.
	ειδοποίηση	C2	0	ουσ.	
	ειδωλολατρικός	C2	0	επίθ.	
	είθε	C2	0	επιφ., μόρ.
	εικάζω	C2	0	ρ.	
	εικασία	C2	0	ουσ.	
	εικονίδιο	C2	0	ουσ.	
	εικονογράφηση	C2	0	ουσ.	
	εικονογραφώ	C2	0	ρ.	
	εικοσιτετράωρο	C2	0	ουσ., επίθ.
	εικοστός	C2	0	αριθ.	
	ειλικρίνεια	C2	0	ουσ.	
	είναι γνωστό ότι 	C2	0	ρ. (απρ. έκφρ.)	
	είναι δυνατόν	C2	0	ρ. (απρ. έκφρ.)	
	ειρηνικά	C2	0	επίρρ.	
	ειρμός	C2	0	ουσ.	
	ειρωνεία	C2	0	ουσ.	
	ειρωνικός	C2	0	επίθ.	
	εισάγομαι	C2	0	ρ.	
	εισβολέας	C2	0	ουσ.	
	εισπράκτορας	C2	0	ουσ.	
	εκ νέου	C2	0	πρόθ., έκφρ.	
	εκ των προτέρων	C2	0	επίρρ.	
	εκατό χιλιάδες	C2	0	αριθ.	
	εκατοστό	C2	0	ουσ., επίθ.
	εκδηλώνομαι	C2	0	ρ.	
	εκθειάζω	C2	0	ρ.	
	εκλαμβάνω	C2	0	ρ.	
	εκλεπτυσμένος	C2	0	επίθ., μτχ.
	εκλιπαρώ	C2	0	ρ.	
	εκλογές	C2	0	ουσ.	
	εκμυστηρεύομαι	C2	0	ρ.	
	εκνευρισμός	C2	0	ουσ.	
	εκούσιος	C2	0	επίθ.	
	εκπλήρωση	C2	0	ουσ.	
	εκπλήσσομαι	C2	0	ρ.	
	εκπνέω	C2	0	ρ.	
	εκπρόσωπος	C2	0	ουσ.	
εκπρόσωπος	εκπρόσωπος τύπου			ονοματική φράση	
	εκρήγνυμαι	C2	0	ρ.	
	εκσφενδονίζω	C2	0	ρ.	
	έκτακτος	C2	0	επίθ.	
έκτακτος	έκτακτης ανάγκης			ονοματική φράση	
	εκτείνομαι	C2	0	ρ.	
	εκτελεστής	C2	0	ουσ.	
	εκτελούμαι	C2	0	ρ.	
	εκτυπωμένος	C2	0	μτχ.	
	εκτυπώνω	C2	0	ρ.	
	εκφοβίζω	C2	0	ρ.	
	εκφράζομαι	C2	0	ρ.	
	εκφραστικός	C2	0	επίθ.	
	εκφωνώ	C2	0	ρ.	
	εκχώρηση	C2	0	ουσ.	
	ελάσσων	C2	0	επίθ.	
	έλατο	C2	0	ουσ.	
	ελάττωμα	C2	0	ουσ.	
	ελάφι	C2	0	ουσ.	
	ελαφρώς	C2	0	επίρρ.	
	ελάχιστα	C2	0	επίρρ., επίθ.
	ελαχιστοποιώ	C2	0	ρ.	
	ελβετικός	C2	0	επίθ.	
	ελεεινός	C2	0	επίθ.	
	ελευθέρωση	C2	0	ουσ.	
	ελέφαντας	C2	0	ουσ.	
	ελιγμός	C2	0	ουσ.	
	έλκω	C2	0	ρ.	
	εμβριθής	C2	0	επίθ.	
	εμείς	C2	0	προσ. αντων.
	εμπιστευτικός	C2	0	επίθ.	
	εμφανίζομαι	C2	0	ρ.	
	εμφανώς	C2	0	επίρρ.	
	εμφιαλωμένος	C2	0	επίθ.	
	εμφύλιος	C2	0	επίθ.	
εμφύλιος	εμφύλιος πόλεμος			ονοματική φράση
	εμψυχώνω	C2	0	ρ.	
	εν	C2	0	πρόθ., αριθ.
εν	εν αναμονή			έκφρ.	
εν	εν τούτοις			έκφρ., σύνδ.
	εναέριος	C2	0	επίθ.	
	εναλλακτικά	C2	0	επίρρ.	
	εναλλάσσω	C2	0	ρ.	
	ενάντια	C2	0	επίθ., επίρρ.
ενάντια	ενάντια σε			έκφρ.	
	εναντιώνομαι	C2	0	ρ.	
	εναπομένων	C2	0	μτχ.	
	ένατος	C2	0	τακτ., αριθ.
	ενδεδειγμένος	C2	0	επίθ.	
	ενδέκατος	C2	0	αριθ.	
	ενδιαφέρομαι	C2	0	ρ.	
	ενδόμυχος	C2	0	επίθ.	
	ενδυναμώνω	C2	0	ρ.	
	ένδυση	C2	0	ουσ.	
	ενενηκοστός	C2	0	αριθ., επίθ.
	ενενήντα	C2	0	αριθ.	
	ενημερωμένος	C2	0	μτχ., επίθ.
	ενθάρρυνση	C2	0	ουσ.	
	ενθουσιώδης	C2	0	επίθ.	
	ενικός	C2	0	επίθ., ουσ.	
	έννομος	C2	0	επίθ.	
	ενοικιάζω	C2	0	ρ.	
	ενοικιαστής	C2	0	ουσ.	
	ενοικιάστρια	C2	0	ουσ.	
	ένοικος	C2	0	ουσ.	
	ενορία	C2	0	ουσ.	
	ενόσω	C2	0	ρ., σύνδ.
	ενοχλημένος	C2	0	επίθ.	
	ενόχληση	C2	0	ουσ.	
	ενσωματωμένος	C2	0	επίθ.	
	εντατικά	C2	0	επίρρ.	
	έντεκα	C2	0	απόλ., αριθ.
	έντιμα	C2	0	επίρρ.	
	ενωμένος	C2	0	μτχ.	
	εξ ονόματος	C2	0	έκφρ.	
	εξαίρετος	C2	0	επίθ.	
	εξακολούθηση	C2	0	ουσ.	
	εξακολουθητικός	C2	0	επίθ.	
	εξακριβώνω	C2	0	ρ.	
	έξαλλος	C2	0	επίθ.	
	εξαναγκάζω	C2	0	ρ.	
	εξαναγκασμός	C2	0	ουσ.	
	εξαντλητικός	C2	0	επίθ.	
	εξαπάτηση	C2	0	ουσ.	
	εξαπατώ	C2	0	ρ.	
	εξαρτημένος	C2	0	μτχ., επίθ.
	εξαρτώμαι	C2	0	ρ.	
	εξασθενίζω	C2	0	ρ.	
	εξασθενώ	C2	0	βοηθ. ρ.	
	εξασκούμαι	C2	0	ρ.	
	εξαφανίζομαι	C2	0	ρ.	
	έξαψη	C2	0	ουσ.	
	εξειδικευμένος	C2	0	μτχ.	
	εξελίσσομαι	C2	0	ρ.	
	εξερευνητής	C2	0	ουσ.	
	εξερευνώ	C2	0	ρ.	
	εξέρχομαι	C2	0	ρ.	
	εξετάζομαι	C2	0	ρ.	
	εξετάσεις	C2	0	ουσ., ρ.
	εξοικονόμηση	C2	0	ουσ.	
	εξοικονομώ	C2	0	ρ.	
	εξομοιώνω	C2	0	ρ.	
	εξομολογούμαι	C2	0	ρ.	
	εξοργίζω	C2	0	ρ.	
	εξορία	C2	0	ουσ.	
	εξορίζω	C2	0	ρ.	
	εξορύσσω	C2	0	ρ.	
	εξουσιάζω	C2	0	ρ.	
	εξουσιοδοτημένος	C2	0	μτχ.	
	έξοχος	C2	0	επίθ.	
	εξυπνάδα	C2	0	ουσ.	
	εξώπορτα	C2	0	ουσ.	
	εξωτικός	C2	0	επίθ.	
	εορταστικά	C2	0	επίρρ.	
	εορταστικός	C2	0	επίθ.	
	έπαθλο	C2	0	ουσ.	
	έπαινος	C2	0	ουσ.	
	επαινώ	C2	0	ρ.	
	επακόλουθος	C2	0	επίθ.	
	επακριβώς	C2	0	επίρρ.	
	επαληθεύω	C2	0	ρ.	
	επανακτώ	C2	0	ρ.	
	επαναλαμβάνομαι	C2	0	ρ.	
	επαναληπτικός	C2	0	επίθ.	
	επανδρώνω	C2	0	ρ.	
	επανειλημμένως	C2	0	επίρρ.	
	επανορθώνω	C2	0	ρ.	
	επάρκεια	C2	0	ουσ.	
	επειγόντως	C2	0	επίρρ.	
	επεξηγηματικός	C2	0	επίθ.	
	επεξήγηση	C2	0	ουσ.	
	επευφημία	C2	0	ουσ.	
	επιβεβαιώνομαι	C2	0	ρ.	
	επιβιβάζομαι	C2	0	ρ.	
	επιβίβαση	C2	0	ουσ.	
	επιβλαβής	C2	0	επίθ.	
	επιβλέπω	C2	0	ρ.	
	επίβλεψη	C2	0	ουσ.	
	επιβράβευση	C2	0	ουσ.	
	επιβραβεύω	C2	0	ρ.	
	επιβραδύνω	C2	0	ρ.	
	επίγειος	C2	0	επίθ.	
	επιδέξιος	C2	0	επίθ.	
	επιδιορθώνω	C2	0	ρ.	
	επιδρώ	C2	0	ρ.	
επιδρώ	επιδρώ σε κάποιον			ρηματική φράση	
	επιθεωρώ	C2	0	ρ.	
	επικαλύπτω	C2	0	ρ.	
	επικείμενος	C2	0	επίθ., μτχ.
	επικερδής	C2	0	επίθ.	
	επικεφαλίδα	C2	0	ουσ.	
	επικρατέστερος	C2	0	επίθ.	
	επικρατών	C2	0	μτχ.	
	επικρίνω	C2	0	ρ.	
	επικριτικά	C2	0	επίρρ.	
	επιλεγμένος	C2	0	μτχ.	
	επιλύω	C2	0	ρ.	
	επιμελούμαι	C2	0	ρ.	
	επιμελώς	C2	0	επίρρ.	
	επίμονα	C2	0	επίρρ., επίθ.
	επινόηση	C2	0	ουσ.	
	επινοώ	C2	0	βοηθ. ρ.
	επιπλέω	C2	0	ρ.	
	επιπλήττω	C2	0	ρ.	
	επιπλωμένος	C2	0	επίθ., μτχ.
	επιπροσθέτως, επιπρόσθετα	C2	0	επίρρ.	
	επισήμως	C2	0	επίρρ.	
	επισκευάζω	C2	0	ρ.	
	επισκόπηση	C2	0	ουσ.	
	επισπεύδω	C2	0	ρ.	
	επισυνάπτω	C2	0	ρ.	
	επιτευχθείς	C2	0	ρ.	
	επίτηδες	C2	0	επίρρ.	
	επιτηρητής	C2	0	ουσ.	
	επιτηρώ	C2	0	ρ.	
	επιτίθεμαι	C2	0	ρ.	
	επιτρέπομαι	C2	0	ρ.	
	επιτρεπτός	C2	0	επίθ.	
	επιτυχώς	C2	0	επίρρ.	
	επιφυλακτικός	C2	0	επίθ.	
	επιχειρηματολογία	C2	0	ουσ.	
	επιχειρηματολογώ	C2	0	ρ.	
	εποικοδομητικός	C2	0	επίθ.	
	εποπτεία	C2	0	ουσ.	
	εργάσιμος	C2	0	επίθ.	
	εργένης	C2	0	ουσ.	
	έργο	C2	0	ουσ.	
έργο	έργο τέχνης			ονοματική φράση
	εργολαβία	C2	0	ουσ.	
	εργολάβος	C2	0	ουσ.	
	ερεθίζω	C2	0	ρ.	
	έρπω	C2	0	ρ.	
	ερωτευμένος	C2	0	επίθ., μτχ.
	ερωτηματικό	C2	0	επίθ., ουσ.
	ερωτηματολόγιο	C2	0	ουσ.	
	εσκεμμένος	C2	0	επίθ.	
	εστίαση	C2	0	ουσ.	
	έστω (και,και αν)	C2	0	επίρρ.	
	εσύ,εσείς	C2	0	αντων.	
	εσφαλμένος	C2	0	επίθ.	
	εσώρουχο	C2	0	ουσ.	
	ετησίως	C2	0	επίρρ.	
	ετοιμάζομαι	C2	0	ρ.	
	ετοιμασία	C2	0	ουσ.	
	έτσι	C2	0	σύνδ., επίρρ., ουσ.
έτσι	έτσι ώστε			έκφρ.	
	ευάλωτος	C2	0	επίθ.	
	ευγενικά	C2	0	επίρρ., επίθ.
	ευγνωμοσύνη	C2	0	ουσ.	
	ευγνώμων	C2	0	επίθ.	
	ευδιάκριτος	C2	0	επίθ.	
	ευημερών	C2	0	μτχ.	
	εύθραυστος	C2	0	επίθ.	
	ευθυμία	C2	0	ουσ.	
	εύκαμπτος	C2	0	επίθ.	
	ευκολότερος	C2	0	επίθ.	
	ευκρινής	C2	0	επίθ.	
	ευκρινώς	C2	0	επίρρ.	
	ευλογώ	C2	0	ρ.	
	ευμάρεια	C2	0	ουσ.	
	ευμετακίνητος	C2	0	επίθ.	
	εύνοια	C2	0	ουσ.	
	ευοίωνος	C2	0	επίθ.	
	ευπαθής	C2	0	επίθ.	
	ευπρεπής	C2	0	επίθ.	
	ευρύχωρος	C2	0	επίθ.	
	εύστοχος	C2	0	επίθ.	
	ευστροφία	C2	0	ουσ.	
	ευσυνείδητος	C2	0	επίθ.	
	ευφυής	C2	0	επίθ.	
	ευχάριστα	C2	0	επίρρ., επίθ.
	ευχαριστημένος	C2	0	επίθ., μτχ.
	ευχαρίστως	C2	0	επίρρ.	
	εύχρηστος	C2	0	επίθ.	
	εφαρμόσιμος	C2	0	επίθ.	
	εφαρμοσμένος	C2	0	επίθ.	
	εφαρμοστέος	C2	0	επίθ.	
	εφεδρικός	C2	0	επίθ.	
	έφεση	C2	0	ουσ.	
	εφετείο	C2	0	ουσ.	
	εφεύρεση	C2	0	ουσ.	
	εφευρίσκω	C2	0	ρ.	
	εφηβικός	C2	0	επίθ.	
	εφοδιάζω	C2	0	ρ.	
	εφτά	C2	0	απόλ., αριθ.
	έχθρα	C2	0	ουσ.	
	εχθρότητα	C2	0	ουσ.	
	έχω	C2	0	ρ.	
έχω	έχω να κάνω			ρηματική φράση	
	έως	C2	0	πρόθ.
έως	έως ότου			έκφρ.	
έως	έως τώρα			έκφρ.	
	ζακέτα	C2	0	ουσ.	
	ζαλισμένος	C2	0	μτχ., επίθ.	
	ζαρκάδι	C2	0	ουσ.	
	ζαχαροπλαστείο	C2	0	ουσ.	
	ζέβρα	C2	0	ουσ.	
	ζεσταίνομαι	C2	0	ρ.	
	ζήλια	C2	0	ουσ.	
	ζηλιάρα	C2	0	ουσ.	
	ζηλιάρης	C2	0	ουσ., επίθ.
	ζην	C2	0	ουσ.	
	ζητώ, ζητάω	C2	0	ρ.	
ζητώ	ζητώ συγγνώμη			ρηματική φράση	
	ζόρικος	C2	0	επίθ.	
	ζυγίζω	C2	0	ρ.	
	ζυμαρικό	C2	0	ουσ.	
	ζωγραφιά	C2	0	ουσ.	
	ζωγραφική	C2	0	ουσ., επίθ.
	ζωηρός	C2	0	επίθ.	
	ζωμός	C2	0	ουσ.	
	ηγεμόνας	C2	0	ουσ.	
	ηγετικός	C2	0	επίθ.	
	ηγούμαι	C2	0	ρ.	
	ηλεκτρισμός	C2	0	ουσ.	
	ηλιοβασίλεμα	C2	0	ουσ.	
	ηλιοθεραπεία	C2	0	ουσ.	
	ηλιόλουστος	C2	0	επίθ.	
	ημερήσιος	C2	0	επίθ.	
ημερήσιος	ημερήσια διάταξη			ονοματική φράση	
	ήμερος	C2	0	επίθ.	
	ήμισυ	C2	0	επίθ., ουσ.
	ημιτελής	C2	0	επίθ.	
	ήρεμα	C2	0	επίρρ., επίθ.
	ήσυχα	C2	0	επίρρ., επίθ.
	ηχηρός	C2	0	επίθ.	
	θα	C2	0	μόρ.	
θα	θα έπρεπε			ρηματική φράση	
θα	θα μπορούσα			ρηματική φράση	
	θαλασσινά	C2	0	ουσ., επίθ.
	θανάσιμος	C2	0	επίθ.	
	θανατηφόρος	C2	0	συγκρ., επίθ.
	θαρραλέος	C2	0	επίθ.	
	θαυμαστής	C2	0	ουσ., επίθ.
	θεμελίωση	C2	0	ουσ.	
	θερμά	C2	0	επίρρ., επίθ.
	θερμαίνω	C2	0	ρ.	
	θερμόμετρο	C2	0	ουσ.	
	θεσπέσιος	C2	0	επίθ.	
	θηλάζω	C2	0	ρ.	
	θηλή	C2	0	ουσ.	
	θήλυ	C2	0	ουσ.	
	θόλος	C2	0	ουσ.	
	θορυβώδης	C2	0	επίθ.	
	θρέψη	C2	0	ουσ.	
	θρήσκος	C2	0	επίθ.	
	θρίαμβος	C2	0	ουσ.	
	θρυλικός	C2	0	επίθ.	
	θρυμματίζω	C2	0	ρ.	
	θυελλώδης	C2	0	επίθ.	
	θυμωμένος	C2	0	επίθ., μτχ.
	Ιάπωνας	C2	0	κ.ό.
	Ιαπωνία	C2	0	κ.ό.	
	ιαπωνικός	C2	0	επίθ.	
	ιδεώδες	C2	0	ουσ., επίθ.	
	ιδιόρρυθμος	C2	0	επίθ.	
	ιδιοσυγκρασία	C2	0	ουσ.	
	ιδιότητα	C2	0	ουσ.	
ιδιότητα	ιδιότητα μέλους			ονοματική φράση	
	ιδιωτικός	C2	0	επίθ.	
ιδιωτικός	ιδιωτική ζωή			ονοματική φράση	
	ιδρωμένος	C2	0	επίθ., μτχ.
	ιεροτελεστία	C2	0	ουσ.	
	ικανοποιημένος	C2	0	επίθ., μτχ.
	ινδικός	C2	0	επίθ.	
	ινδός	C2	0	κ.ό.	
	Ιορδανία	C2	0	κ.ό.	
	ιουδαϊσμός	C2	0	ουσ.	
	ιππασία	C2	0	ουσ.	
	ιππεύω	C2	0	ρ.	
	ιπποπόταμος	C2	0	ουσ.	
	ιπποτικός	C2	0	επίθ.	
	ιπτάμενος	C2	0	ουσ., επίθ.
	Ιρακινός	C2	0	ουσ.	
	Ιρανικός	C2	0	επίθ.	
	Ιρλανδία	C2	0	κ.ό.	
	ιρλανδικός	C2	0	επίθ.	
	ίσια	C2	0	επίρρ.	
	ίσκιος	C2	0	ουσ.	
	Ισλάμ	C2	0	ουσ.	
	ισλαμικός	C2	0	επίθ.	
	ισλαμιστής	C2	0	ουσ.	
	ισλανδικός	C2	0	επίθ.	
	ισόγειο	C2	0	ουσ., επίθ.
	ισολογισμός	C2	0	ουσ.	
	ισορροπημένος	C2	0	επίθ.	
	Ισραήλ	C2	0	κ.ό.
	ισραηλίτικος	C2	0	επίθ.	
	ιστολόγιο	C2	0	ουσ.	
	ιστολογώ	C2	0	ρ.	
	ιστότοπος	C2	0	ουσ.	
	ισχυροποιώ	C2	0	ρ.	
	ισχυρότερος	C2	0	επίθ. (συγκρ. βαθμ.)	
	ιχθυοπωλείο	C2	0	ουσ.	
	κ.λπ.	C2	0	συντμ., επίρρ.
	καβγάς, καυγάς	C2	0	ουσ.	
	καθαγιάζω	C2	0	ρ.	
	καθαρή	C2	0	επίθ.	
	καθάρισμα	C2	0	ουσ.	
	καθαριστήριο	C2	0	ουσ.	
	καθεδρικός	C2	0	επίθ.	
καθεδρικός	καθεδρικός ναός			ονοματική φράση	
	καθένα	C2	0	αόρ. αντων.
	καθησυχάζω	C2	0	ρ.	
	καθιερωμένος	C2	0	επίθ., μτχ.
	καθιστικό	C2	0	ουσ.	
	κάθοδος	C2	0	ουσ.	
	καθορίζομαι	C2	0	ρ.	
	καθορισμένος	C2	0	επίθ., μτχ.
	καθότι	C2	0	υποτ., επίρρ.
	καθώς	C2	0	υποτ., σύνδ.
καθώς	καθώς και			έκφρ.	
	καίγομαι	C2	0	ρ.	
	καινοτόμος	C2	0	επίθ., ουσ.	
	κακάο	C2	0	ουσ.	
	κακοηθής	C2	0	επίθ.	
	κακομεταχειρίζομαι	C2	0	ρ.	
	κακομεταχείριση	C2	0	ουσ.	
	κακόμοιρος	C2	0	επίθ.	
	κακοτυχία	C2	0	ουσ.	
	κακώς	C2	0	επίρρ.	
	καλαμπόκι	C2	0	ουσ.	
	καλλιγραφία	C2	0	ουσ.	
	κάλλιστα	C2	0	επίρρ.	
	καλοκαιριάτικος	C2	0	επίθ.	
	καλοριφέρ	C2	0	ουσ.	
	καλός	C2	0	επίθ.	
	καλοσύνη	C2	0	ουσ.	
	καλούπι	C2	0	ουσ.	
	κάλπικος	C2	0	επίθ.	
	καλσόν	C2	0	ουσ.	
	κάλτσα	C2	0	ουσ.	
	κάλυμμα	C2	0	ουσ.	
	καλύτερα	C2	0	επίρρ., επίθ.
	καλυτέρευση	C2	0	ουσ.	
	καλυτερεύω	C2	0	ρ.	
	καλύτερος	C2	0	επίθ.	
	καλώς	C2	0	επίρρ.	
	καλωσόρισμα	C2	0	ουσ.	
	καμαριέρα	C2	0	ουσ.	
	καμβάς	C2	0	ουσ.	
	καμήλα	C2	0	ουσ.	
	καμηλοπάρδαλη	C2	0	ουσ.	
	καμιά φορά	C2	0	έκφρ.	
	καμπαρντίνα	C2	0	ουσ.	
	καμπίνα	C2	0	ουσ.	
	κάμπινγκ	C2	0	ουσ.	
	κάμποσο	C2	0	επίρρ.	
	Καναδάς	C2	0	κ.ό.	
	καναδικός	C2	0	επίθ.	
	κανάτα	C2	0	ουσ.	
	κανόνι	C2	0	ουσ.	
	καντίνα	C2	0	ουσ.	
	κάπου	C2	0	επίρρ.	
κάπου	κάπου κάπου			έκφρ.	
	καραμέλα	C2	0	ουσ.	
	καρβέλι	C2	0	ουσ.	
	καρδινάλιος	C2	0	ουσ.	
	καρδιολόγος	C2	0	ουσ.	
	καρότο	C2	0	ουσ.	
	καρπούζι	C2	0	ουσ.	
	καρτοτηλέφωνο	C2	0	ουσ.	
	κασκόλ	C2	0	ουσ.	
	κασόνι	C2	0	ουσ.	
	κάστα	C2	0	ουσ.	
	κάστανο	C2	0	ουσ.	
	καστανός	C2	0	επίθ.	
	κατά	C2	0	πρόθ.	
κατά	κατ' ανάγκη			έκφρ.	
κατά	κατ' αυτόν τον τρόπο			έκφρ.	
	καταδιώκω	C2	0	ρ.	
	καταδίωξη	C2	0	ουσ.	
	καταδύομαι	C2	0	ρ.	
	καταιγίδα	C2	0	ουσ.	
	κατακλύζω	C2	0	ρ.	
	καταμερισμός	C2	0	ουσ.	
	καταμέτρηση	C2	0	ουσ.	
	καταναλωτική	C2	0	επίθ.	
	καταπάτηση	C2	0	ουσ.	
	καταπιάνομαι	C2	0	ρ.	
	κατάπληκτος	C2	0	επίθ.	
	καταπλήσσω	C2	0	ρ.	
	καταπράσινος	C2	0	επίθ.	
	καταραμένη	C2	0	επίθ.	
	καταραμένο	C2	0	επίθ.	
	καταραμένος	C2	0	επίθ., μτχ.
	κατάρτι	C2	0	ουσ.	
	κατασκήνωση	C2	0	ουσ.	
	κατάσκοπος	C2	0	ουσ.	
	καταστέλλω	C2	0	ρ.	
	κατάστρωμα	C2	0	ουσ.	
	καταυλισμός	C2	0	ουσ.	
	καταχνιά	C2	0	ουσ.	
	καταχρώμαι	C2	0	ρ.	
	καταχωρίζω	C2	0	ρ.	
	καταψύχω	C2	0	ρ.	
	κατεδαφίζω	C2	0	ρ.	
	κατευθύνομαι	C2	0	ρ.	
	κατευνάζω	C2	0	ρ.	
	κατεψυγμένος	C2	0	επίθ., μτχ.
	κατήγορος	C2	0	ουσ.	
	κατοικήσιμος -η -ο	C2	0	επίθ.	
	κατοικίδιος	C2	0	επίθ.	
κατοικίδιος	κατοικίδιο ζώο			ονοματική φράση	
	κατουραώ, κατουρώ	C2	0	ρ.	
	κατρακυλάω, κατρακυλώ	C2	0	ρ.	
	κατσίκα	C2	0	ουσ.	
	κατσίκι	C2	0	ουσ.	
	κατώφλι	C2	0	ουσ.	
	καύσωνας	C2	0	ουσ.	
	καυτερός	C2	0	επίθ.	
	καφετής	C2	0	επίθ.	
	καχυποψία	C2	0	ουσ.	
	κέικ	C2	0	ουσ.	
	κείμαι	C2	0	ρ.	
	κελάρι	C2	0	ουσ.	
	κέλυφος	C2	0	ουσ.	
	κεντράρω	C2	0	ρ.	
	κεντρίζω	C2	0	ρ.	
	κεράσι	C2	0	ουσ.	
	κέρατο	C2	0	ουσ.	
	κέρμα	C2	0	ουσ.	
	κηλίδα	C2	0	ουσ.	
	Κίνα	C2	0	κ.ό.	
	κινέζικα	C2	0	ουσ., επίθ.	
	κινέζικος	C2	0	επίθ.	
	Κινέζος	C2	0	κ.ό.
	κινούμαι	C2	0	ρ.	
	κλαμπ	C2	0	ουσ.	
	κλαρί	C2	0	ουσ.	
	κλάσμα	C2	0	ουσ.	
	κλειδαριά	C2	0	ουσ.	
	κλείνομαι	C2	0	ρ.	
	κληρονομώ	C2	0	ρ.	
	κλικ	C2	0	ουσ.	
	κλιμακώνω	C2	0	ρ.	
	κλιμάκωση	C2	0	ουσ.	
	κλονισμός	C2	0	ουσ.	
	κλόουν	C2	0	ουσ.	
	κλουβί	C2	0	ουσ.	
	κλωστή	C2	0	ουσ.	
	κλωτσώ	C2	0	ρ.	
	κοίλωμα	C2	0	ουσ.	
	κοιμητήριο	C2	0	ουσ.	
	κοινοπραξία	C2	0	ουσ.	
	κοινότοπος	C2	0	επίθ.	
	κοιτάζομαι	C2	0	ρ.	
	κοιτώνας	C2	0	ουσ.	
	κόκκος	C2	0	ουσ.	
	κόκορας	C2	0	ουσ.	
	κολέγιο	C2	0	ουσ.	
	κόλλα	C2	0	ουσ.	
	κολλημένος	C2	0	μτχ.	
	κολλώδης	C2	0	επίθ.	
	κολόνα	C2	0	ουσ.	
	κολοσσιαίος	C2	0	επίθ.	
	κολύμπι	C2	0	ουσ.	
	κολυμπώ	C2	0	ρ.	
	κόμης	C2	0	ουσ.	
	κομητεία	C2	0	ουσ.	
	κομματιάζω	C2	0	ρ.	
	κομμωτήριο	C2	0	ουσ.	
	κομοδίνο	C2	0	ουσ.	
	κομπιούτερ	C2	0	ουσ.	
	κόμπος	C2	0	ουσ.	
	κομψός	C2	0	επίθ.	
	κονσέρτο	C2	0	ουσ.	
	κόντρα	C2	0	επίρρ.	
	Κοράνι	C2	0	ουσ.	
	κορδέλα	C2	0	ουσ.	
	κορδόνι	C2	0	ουσ.	
	κορώνα	C2	0	ουσ.	
	κοσκινίζω	C2	0	ρ.	
	κοσμήτορας	C2	0	ουσ.	
	κοσμοβριθής	C2	0	επίθ.	
	κοτσάνι	C2	0	ουσ.	
	Κούβα	C2	0	κ.ό.	
	κουβαλώ, κουβαλάω	C2	0	ρ.	
	κουβάς	C2	0	ουσ.	
	κουβεντιάζω	C2	0	ρ.	
	κουβέρτα	C2	0	ουσ.	
	κουδουνίζω	C2	0	ρ.	
	κουίζ	C2	0	ουσ.	
	κουμπάρα	C2	0	ουσ.	
	κουμπάρος	C2	0	ουσ.	
	κουνέλι	C2	0	ουσ.	
	κουνούπι	C2	0	ουσ.	
	κουνώ	C2	0	ρ.	
	κουραστικός	C2	0	επίθ.	
	κουρδικός	C2	0	επίθ.	
	κουρείο	C2	0	ουσ.	
